horizon_weeks,feature,best_lag_weeks,best_corr_abs
2,ws_сухой_кашель_roll_mean_8,1,0.35507756313581745
2,ws_сухой_кашель,2,0.3534999058908616
2,ws_сухой_кашель_lag_1,1,0.3534999058908616
2,ws_total_denoised_zscore_8,1,0.35250038017318464
2,ws_total_raw_zscore_8,1,0.35250038017318464
2,ws_group_total_zscore_8,1,0.35250038017317964
2,ws_сухой_кашель_lag_2,1,0.35249683162694434
2,ws_симптомы_ковида_zscore_8,2,0.3486144330853524
2,ws_share_пропало_обоняние,8,0.34074760311068736
2,ws_пропало_обоняние_roll_mean_8,8,0.33898359424411595
2,ws_температура_38_roll_mean_8,2,0.3337252827085303
2,ws_share_температура_38,8,0.33355626078531225
2,ws_пропало_обоняние_roll_mean_4,7,0.32911350982931975
2,ws_экспресс_тест_ковид_shock_ratio,2,0.3250803041498055
2,ws_температура_38_roll_mean_4,3,0.32267081481473425
2,ws_пропало_обоняние,8,0.3219179777574026
2,ws_пропало_обоняние_lag_1,7,0.3219179777574026
2,ws_пропало_обоняние_lag_2,6,0.3219179777574026
2,ws_кт_легких_zscore_8,1,0.31916182155778716
2,ws_температура_38,5,0.3148936772061189
2,ws_температура_38_lag_1,4,0.3148936772061189
2,ws_температура_38_lag_2,3,0.3148936772061189
2,ws_симптомы_ковида_roll_mean_8,8,0.3139669505301644
2,ws_пцр_тест_zscore_8,1,0.3133771676564812
2,ws_положительный_тест_ковид_shock_ratio,2,0.3087277601146388
2,ws_чем_лечить_ковид_shock_ratio,1,0.3053976823989953
2,ws_температура_39_roll_mean_8,1,0.3022294213213398
2,ws_total_denoised_roll_mean_4_zscore_8,1,0.3017078823808735
2,ws_group_specific_symptoms_zscore_8,1,0.300992607305399
2,ws_сатурация_zscore_8,1,0.29793651134924565
2,ws_температура_38_zscore_8,1,0.29789919783897234
2,ws_share_температура_39,4,0.29245102356812697
2,ws_чем_лечить_ковид_roll_mean_8,6,0.2893841137866857
2,ws_симптомы_ковида_roll_mean_4,8,0.28828962210379444
2,ws_температура_39_roll_mean_4,3,0.28689816902027165
2,ws_share_чем_лечить_ковид,8,0.28154147040000344
2,ws_чем_лечить_ковид_roll_mean_4,7,0.27931228775736977
2,ws_температура_39,4,0.2766982274158192
2,ws_температура_39_lag_1,3,0.2766982274158192
2,ws_температура_39_lag_2,2,0.2766982274158192
2,ws_симптомы_ковида_lag_2,8,0.2753425266660903
2,ws_share_симптомы_ковида,8,0.2738649194860168
2,ws_ломота_zscore_8,1,0.2738161188241006
